0.65,9.04032,0.785019,2.02687,0.969425,-0.245371,0.000591506,-0.00272312
0.66,9.15676,0.673246,2.0267,0.968952,-0.247236,0.000631996,-0.00259351
0.67,9.27274,0.559768,2.02637,0.968541,-0.24884,0.000601293,-0.00269489
0.68,9.38855,0.446057,2.02591,0.968202,-0.250154,0.000523537,-0.00269413
0.69,9.50335,0.331813,2.02541,0.967938,-0.251172,0.000526833,-0.0027807
0.7,9.61859,0.21762,2.02506,0.967762,-0.25185,0.000439644,-0.00274554
0.71,9.73299,0.103302,2.02467,0.967653,-0.252271,0.000480938,-0.00276419
0.72,9.84752,-0.0106226,2.02449,0.967616,-0.252413,0.000484907,-0.00267477
0.73,9.96216,-0.125103,2.02404,0.96765,-0.252282,0.000487215,-0.00270147
0.74,10.0772,-0.239058,2.02352,0.96777,-0.25182,0.000404259,-0.00263686
0.75,10.1913,-0.352084,2.02341,0.96795,-0.25113,0.000592003,-0.00253563
0.76,10.3068,-0.465519,2.02304,0.968205,-0.250146,0.000572674,-0.0025078
0.77,10.4232,-0.578869,2.02265,0.968538,-0.248851,0.000485892,-0.0025595
0.78,10.5393,-0.691022,2.02238,0.968958,-0.247214,0.000550982,-0.00254424
0.79,10.6555,-0.802273,2.02225,0.969446,-0.245289,0.000733402,-0.00255446
0.8,10.7741,-0.912769,2.02187,0.970005,-0.243071,0.000635174,-0.00247295
0.81,10.8933,-1.02241,2.02183,0.970636,-0.240538,0.000617491,-0.00242091
0.82,11.0127,-1.13077,2.02165,0.971351,-0.237636,0.000708131,-0.0024083
0.83,11.1335,-1.23786,2.02154,0.972146,-0.234364,0.00080976,-0.00241676
0.84,11.2561,-1.34385,2.02146,0.973006,-0.230766,0.000771229,-0.00242366
0.85,11.3802,-1.44774,2.02142,0.973947,-0.226765,0.0007293,-0.00235028
0.86,11.5055,-1.55071,2.02103,0.974952,-0.222401,0.000709426,-0.00245171
0.87,11.6327,-1.65091,2.02106,0.976039,-0.217581,0.000677108,-0.00237783
0.88,11.7612,-1.74977,2.02082,0.977193,-0.212335,0.000654508,-0.00249671
0.89,11.8917,-1.84604,2.0206,0.978414,-0.206639,0.000645588,-0.0025668
0.9,12.0239,-1.93904,2.0205,0.979704,-0.200431,0.000682018,-0.00250413
0.91,12.1584,-2.03033,2.02025,0.981044,-0.193768,0.000583893,-0.00265837
